Tue Nov 04 04:38:24 +0000 2014,@hoistgrace,"You can do the very best you can when you're very, very relaxed. I realized the more fun I had, the better I... http://t.co/EbHm8DnwdW,
Tue Nov 04 04:38:01 +0000 2014,@Usul86,Me ha gustado un vdeo de @YouTube de @watchmojo (http://t.co/oqXQaTJU4Y - Top 10 Bill Murray Performances).,
Tue Nov 04 04:36:48 +0000 2014,@msflorance,Bill Murray. Yes. http://t.co/zd7dfMSbII,
Tue Nov 04 04:35:27 +0000 2014,@MadFilmForum,RT @iw_popular: #3 Kingpin (1996): Woody Harrelson, Bill Murray, Randy Quaid, Chris Elliott #netflix http://t.co/ioIUq4NZnH,
Tue Nov 04 04:34:51 +0000 2014,@Matt_Wilson206,@alexSSN Bill Murray's hair in kingpin FTW,
Tue Nov 04 04:32:10 +0000 2014,@AaroncSherwin,Bill Murray Casts "Ghostbusters 3" - David Letterman http://t.co/Tv7ziSh2hx,
Tue Nov 04 04:31:37 +0000 2014,@twit_nar,RT 247Heads: Toronto festival in Bill Murray Day - Read It Here! http://t.co/BLZQYMJBi2; #ENTERTAINMENT &gt;&gt; Enjo... http://t.co/CzVuuAafSv,
Tue Nov 04 04:30:54 +0000 2014,@briehemingway,VIDEO: Bill Murray Trains For TheMarathon http://t.co/9BCOKKL0rS,
Tue Nov 04 04:29:27 +0000 2014,@fuui_655,Bill Murray Discusses The Pressures Of Being Bill Murray On The Howard Stern Sh http://t.co/5udd0zkQ6M http://t.co/xkLhitVK7m,
Tue Nov 04 04:29:05 +0000 2014,@SPGtwo,BILL FUCKING MURRAY. I KNOW THATS NOT YOUR MIDDLE NAME,
Tue Nov 04 04:27:46 +0000 2014,@247Heads,Toronto festival in Bill Murray Day - Read It Here! http://t.co/CvHIrqplU3 #ENTERTAINMENT,
Tue Nov 04 04:27:43 +0000 2014,@SPGtwo,ITS BILL FUCKING MURRAY. IVE BEEN WATCHING YOU SINCE I COULD JACK OFF.,
Tue Nov 04 04:27:19 +0000 2014,@DoyleMolylK,The Roots Perform Cereal-Themed Set, Tell Weird Bill Murray Story,
Tue Nov 04 04:26:29 +0000 2014,@Andrew_Munson,Seriously guys, Bill Murray is one of a kind. #StVincent,
Tue Nov 04 04:26:26 +0000 2014,@JValdes13,@emilynussbaum @HBO @NewYorker Why aren't Frances McDormand and Bill Murray on an HBO series? Those two... wow, wow, wow! #OliveKitteridge,
Tue Nov 04 04:24:07 +0000 2014,@K8lin_Elizabeth,@netflix: Bill m.f. Murray. Kingpin is #NowOnNetflix http://t.co/qe4QEYJsPs @ggoldmoney look what I found,
